"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"40324","Vicq-d'Auribat","40380","VICQ D AURIBAT                        ",72,40,100,270,100,270
"40325","Vielle-Tursan","40320","VIELLE TURSAN                         ",72,40,"122,7128027682","296,8858131488",123,297
"40326","Vielle-Saint-Girons","40560","VIELLE SAINT GIRONS                      ",72,40,"534,4132282421","1183,9762680945",534,1184
"40327","Vielle-Soubiran","40240","VIELLE SOUBIRAN                       ",72,40,104,264,104,264
"40328","Vieux-Boucau-les-Bains","40480","VIEUX BOUCAU LES BAINS                ",72,40,"814,7059600016","1526,0833592225",815,1526
"40329","Le Vignau","40270","LE VIGNAU                             ",72,40,200,500,200,500
"40330","Villenave","40110","VILLENAVE                             ",72,40,"124,0909090909","264,7272727273",124,265
"40331","Villeneuve-de-Marsan","40190","VILLENEUVE DE MARSAN                  ",72,40,1032,2256,1032,2256
"40332","Ychoux","40160","YCHOUX                                ",72,40,"888,2939735424","2137,7168054875",888,2138
"40333","Ygos-Saint-Saturnin","40110","YGOS SAINT SATURNIN                      ",72,40,"523,3404429861","1226,5791632486",523,1227
"40334","Yzosse","40180","YZOSSE                                ",72,40,"178,6764705882","416,9117647059",179,417
"41001","Ambloy","41310","AMBLOY                                ",24,41,"79,9450549451","191,8681318681",80,192
"41002","Angé","41400","ANGE                                  ",24,41,"349,3024491257","826,651079063",349,827
"41003","Areines","41100","AREINES                               ",24,41,"240,8901746904","558,0622380326",241,558
"41004","Artins","41800","ARTINS                                ",24,41,"133,8289962825","305,1301115242",134,305
"41005","Arville","41170","ARVILLE                               ",24,41,40,84,40,84
"41006","Autainville","41240","AUTAINVILLE                           ",24,41,168,412,168,412
"41007","Authon","41310","AUTHON                                ",24,41,292,672,292,672
"41008","Avaray","41500","AVARAY                                ",24,41,"281,5642458101","715,9776536313",282,716
"41009","Averdon","41330","AVERDON                               ",24,41,"289,9665738162","703,069637883",290,703
"41010","Azé","41100","AZE                                   ",24,41,"418,1609885748","1031,1931174564",418,1031
"41011","Baigneaux","41290","BAIGNEAUX                             ",24,41,20,52,20,52
"41012","Baillou","41170","BAILLOU                               ",24,41,"99,203187251","246,0239043825",99,246
"41013","Bauzy","41250","BAUZY                                 ",24,41,"117,8417266187","271,035971223",118,271
"41014","Beauchêne","41170","BEAUCHENE                             ",24,41,"73,4666666667","170,1333333333",73,170
"41015","Beauvilliers","41290","BEAUVILLIERS                          ",24,41,28,88,28,88
"41016","Billy","41130","BILLY                                 ",24,41,"441,4732423924","1068,6128016789",441,1069
"41017","Binas","41240","BINAS                                 ",24,41,"294,0391032059","729,0558586338",294,729
"41018","Blois","41000","BLOIS                                 ",24,41,"22679,6790274287","44431,9880482847",22680,44432
"41019","Boisseau","41290","BOISSEAU                              ",24,41,44,108,44,108
"41020","Bonneveau","41800","BONNEVEAU                             ",24,41,"217,7632653061","504,0816326531",218,504
"41022","Bouffry","41270","BOUFFRY                               ",24,41,"72,9863013699","162,1917808219",73,162
"41023","Bourré","41400","BOURRE                                ",24,41,"331,3609467456","712,426035503",331,712
"41024","Boursay","41270","BOURSAY                               ",24,41,"84,1553398058","187,4368932039",84,187
"41025","Bracieux","41250","BRACIEUX                              ",24,41,"563,3351856143","1174,9562442813",563,1175
"41026","Brévainville","41160","BREVAINVILLE                          ",24,41,"84,9824561404","161,8713450292",85,162
"41027","Briou","41370","BRIOU                                 ",24,41,"49,0704225352","132,1126760563",49,132
"41028","Busloup","41160","BUSLOUP                               ",24,41,188,436,188,436
"41029","Candé-sur-Beuvron","41120","CANDE SUR BEUVRON                     ",24,41,576,1472,576,1472
"41030","Cellé","41360","CELLE                                 ",24,41,112,252,112,252
"41031","Cellettes","41120","CELLETTES                             ",24,41,"1024,0398724083","2393,240297714",1024,2393
"41032","Chailles","41120","CHAILLES                              ",24,41,"949,8542925951","2388,5457315886",950,2389
"41033","Chambon-sur-Cisse","41190","CHAMBON SUR CISSE                     ",24,41,304,692,304,692
"41034","Chambord","41250","CHAMBORD                              ",24,41,64,112,64,112
"41035","Champigny-en-Beauce","41330","CHAMPIGNY EN BEAUCE                   ",24,41,"252,6554054054","617,1418918919",253,617
"41036","Chaon","41600","CHAON                                 ",24,41,204,460,204,460
"41037","La Chapelle-Enchérie","41290","LA CHAPELLE ENCHERIE                  ",24,41,"78,75","194,5588235294",79,195
"41038","La Chapelle-Montmartin","41320","LA CHAPELLE MONTMARTIN                ",24,41,"177,8571428571","411,0476190476",178,411
"41039","La Chapelle-Saint-Martin-en-Plaine","41500","LA CHAPELLE SAINT MARTIN EN PLAINE       ",24,41,"289,3701015965","731,9361393324",289,732
"41040","La Chapelle-Vendômoise","41330","LA CHAPELLE VENDOMOISE                ",24,41,304,728,304,728
"41041","La Chapelle-Vicomtesse","41270","LA CHAPELLE VICOMTESSE                ",24,41,"84,9333333333",182,85,182
"41042","Châteauvieux","41110","CHATEAUVIEUX                          ",24,41,"220,7345330976","481,6026176675",221,482
"41043","Châtillon-sur-Cher","41130","CHATILLON SUR CHER                    ",24,41,"737,8520231214","1708,9734104046",738,1709
"41044","Châtres-sur-Cher","41320","CHATRES SUR CHER                      ",24,41,"507,3899243246","1051,0219861009",507,1051
"41045","Chaumont-sur-Loire","41150","CHAUMONT SUR LOIRE                    ",24,41,"433,6924207447","1065,9916509892",434,1066
"41046","Chaumont-sur-Tharonne","41600","CHAUMONT SUR THARONNE                 ",24,41,"482,6315736343","1118,0964789194",483,1118
"41047","La Chaussée-Saint-Victor","41260","LA CHAUSSEE SAINT VICTOR                 ",24,41,"2117,1268397279","4364,7815521333",2117,4365
"41048","Chauvigny-du-Perche","41270","CHAUVIGNY DU PERCHE                   ",24,41,"101,7621145374","232,0176211454",102,232
"41049","Chémery","41700","CHEMERY                               ",24,41,"433,8944606746","965,8609569811",434,966
"41050","Cheverny","41700","CHEVERNY                              ",24,41,"419,1158680827","967,356885447",419,967
"41051","Chissay-en-Touraine","41400","CHISSAY EN TOURAINE                   ",24,41,"462,7896636024","1005,3706485155",463,1005
"41052","Chitenay","41120","CHITENAY                              ",24,41,"455,8046471947","1028,0269315517",456,1028
"41053","Choue","41170","CHOUE                                 ",24,41,"233,7575757576","527,9696969697",234,528
"41054","Choussy","41700","CHOUSSY                               ",24,41,"134,3641791045","337,9462686567",134,338
